variable,units,mean,stdev,n,group,month,year,county,station,depth
Dissolved Oxygen,percent saturation,103.054,5.214,72222,all_station,NA,NA,Guysborough,Barren Island,NA
Temperature,degrees Celsius,7.139,5.61,526695,all_station,NA,NA,Guysborough,Barren Island,NA
Temperature,degrees Celsius,9.419,7.203,99468,all_station,NA,NA,Guysborough,Burnt Island,NA
Dissolved Oxygen,percent saturation,106.279,5.692,71154,all_station,NA,NA,Guysborough,Center Bay,NA
Temperature,degrees Celsius,6.595,5.743,578543,all_station,NA,NA,Guysborough,Center Bay,NA
Dissolved Oxygen,percent saturation,105.138,3.513,52061,all_station,NA,NA,Guysborough,Eddy Cove,NA
Temperature,degrees Celsius,6.46,5.914,341955,all_station,NA,NA,Guysborough,Eddy Cove,NA
Dissolved Oxygen,percent saturation,103.071,5.832,7925,all_station,NA,NA,Guysborough,English Harbour,NA
Salinity,practical salinity units,31.278,0.156,7942,all_station,NA,NA,Guysborough,English Harbour,NA
Temperature,degrees Celsius,-0.563,0.795,29275,all_station,NA,NA,Guysborough,English Harbour,NA
Dissolved Oxygen,percent saturation,103.641,6.221,34646,all_station,NA,NA,Guysborough,Fishermans Island,NA
Salinity,practical salinity units,24.893,3.787,53144,all_station,NA,NA,Guysborough,Fishermans Island,NA
Temperature,degrees Celsius,6.49,5.403,523622,all_station,NA,NA,Guysborough,Fishermans Island,NA
Temperature,degrees Celsius,9.513,6.825,53154,all_station,NA,NA,Guysborough,Harbour Island,NA
Temperature,degrees Celsius,14.693,3.274,9164,all_station,NA,NA,Guysborough,Jewers Bay,NA
Dissolved Oxygen,percent saturation,104.478,4.469,7910,all_station,NA,NA,Guysborough,Larrys River,NA
Salinity,practical salinity units,31.148,0.161,7938,all_station,NA,NA,Guysborough,Larrys River,NA
Temperature,degrees Celsius,-0.865,0.753,23933,all_station,NA,NA,Guysborough,Larrys River,NA
Dissolved Oxygen,percent saturation,102.916,6.261,70160,all_station,NA,NA,Guysborough,Madeline Point,NA
Temperature,degrees Celsius,6.161,5.437,527343,all_station,NA,NA,Guysborough,Madeline Point,NA
Dissolved Oxygen,percent saturation,101.717,3.976,79830,all_station,NA,NA,Guysborough,Meal Rock,NA
Salinity,practical salinity units,23.704,5.821,99166,all_station,NA,NA,Guysborough,Meal Rock,NA
Temperature,degrees Celsius,7.291,5.607,622891,all_station,NA,NA,Guysborough,Meal Rock,NA
Dissolved Oxygen,percent saturation,104.418,5.39,52293,all_station,NA,NA,Guysborough,Moose Point,NA
Temperature,degrees Celsius,5.856,5.417,730174,all_station,NA,NA,Guysborough,Moose Point,NA
Dissolved Oxygen,percent saturation,99.666,7.326,37050,all_station,NA,NA,Guysborough,Northeast Branch,NA
Temperature,degrees Celsius,7.717,6.344,417361,all_station,NA,NA,Guysborough,Northeast Branch,NA
Temperature,degrees Celsius,9.952,7.321,101438,all_station,NA,NA,Guysborough,Northwest Branch,NA
Dissolved Oxygen,percent saturation,103.262,4.694,56436,all_station,NA,NA,Guysborough,Pirate Harbour,NA
Temperature,degrees Celsius,5.786,5.554,472176,all_station,NA,NA,Guysborough,Pirate Harbour,NA
Dissolved Oxygen,percent saturation,106.439,4.24,94363,all_station,NA,NA,Guysborough,Rook Island,NA
Temperature,degrees Celsius,6.244,5.424,881939,all_station,NA,NA,Guysborough,Rook Island,NA
Dissolved Oxygen,percent saturation,107.676,4.312,36251,all_station,NA,NA,Guysborough,Sandy Cove Chedabucto,NA
Salinity,practical salinity units,24.849,5.945,54247,all_station,NA,NA,Guysborough,Sandy Cove Chedabucto,NA
Temperature,degrees Celsius,5.673,5.132,650325,all_station,NA,NA,Guysborough,Sandy Cove Chedabucto,NA
Dissolved Oxygen,percent saturation,104.662,5.403,75676,all_station,NA,NA,Guysborough,Seal Cove,NA
Temperature,degrees Celsius,6.253,5.485,623926,all_station,NA,NA,Guysborough,Seal Cove,NA
Dissolved Oxygen,percent saturation,101.984,5.138,7929,all_station,NA,NA,Guysborough,Tanner Island,NA
Salinity,practical salinity units,31.118,0.147,7948,all_station,NA,NA,Guysborough,Tanner Island,NA
Temperature,degrees Celsius,-0.523,0.785,29371,all_station,NA,NA,Guysborough,Tanner Island,NA
Temperature,degrees Celsius,9.382,6.826,197140,all_station,NA,NA,Guysborough,The Basin,NA
Dissolved Oxygen,percent saturation,102.648,6.59,11635,all_station,NA,NA,Guysborough,The Bull,NA
Temperature,degrees Celsius,4.304,5.624,262506,all_station,NA,NA,Guysborough,The Bull,NA
Temperature,degrees Celsius,9.612,7.146,101516,all_station,NA,NA,Guysborough,The Channel,NA
Dissolved Oxygen,percent saturation,93.293,11.67,219957,all_station,NA,NA,Guysborough,Tickle Island,NA
Temperature,degrees Celsius,4.939,4.725,941956,all_station,NA,NA,Guysborough,Tickle Island,NA
Temperature,degrees Celsius,7.495,7.022,21785,all_station,NA,NA,Guysborough,West Ferry Ramp,NA
Temperature,degrees Celsius,9.128,7.06,92470,all_station,NA,NA,Guysborough,White Island,NA
Temperature,degrees Celsius,9.169,5.925,263943,all_station,NA,NA,Guysborough,Wine Harbour,NA
Temperature,degrees Celsius,9.109,6.908,88195,all_station,NA,NA,Guysborough,Yankee Cove,NA
Dissolved Oxygen,percent saturation,105.837,6.938,68711,all_station,NA,NA,Halifax,Beaver Point,NA
Temperature,degrees Celsius,7.027,5.386,476845,all_station,NA,NA,Halifax,Beaver Point,NA
Dissolved Oxygen,percent saturation,102.405,4.197,54399,all_station,NA,NA,Halifax,Borgles Island,NA
Temperature,degrees Celsius,6.33,5.02,234177,all_station,NA,NA,Halifax,Borgles Island,NA
Dissolved Oxygen,percent saturation,101.939,5.12,76592,all_station,NA,NA,Halifax,East Gibbs Island,NA
Temperature,degrees Celsius,5.671,4.766,448823,all_station,NA,NA,Halifax,East Gibbs Island,NA
Dissolved Oxygen,percent saturation,102.28,5.095,66498,all_station,NA,NA,Halifax,Owls Head,NA
Temperature,degrees Celsius,7.057,5.446,141340,all_station,NA,NA,Halifax,Owls Head,NA
Dissolved Oxygen,percent saturation,105.997,5.053,60335,all_station,NA,NA,Halifax,Shad Bay,NA
Temperature,degrees Celsius,7.573,5.349,300283,all_station,NA,NA,Halifax,Shad Bay,NA
Dissolved Oxygen,mg/L,9.761,1.189,51362,all_station,NA,NA,Halifax,Shut-In Island,NA
Dissolved Oxygen,percent saturation,105.117,4.671,112027,all_station,NA,NA,Halifax,Shut-In Island,NA
Temperature,degrees Celsius,7.823,5.183,838162,all_station,NA,NA,Halifax,Shut-In Island,NA
Dissolved Oxygen,percent saturation,99.361,4.011,17338,all_station,NA,NA,Halifax,Sober Island,NA
Temperature,degrees Celsius,9.991,7.152,171568,all_station,NA,NA,Halifax,Sober Island,NA
Dissolved Oxygen,percent saturation,107.813,7.475,102529,all_station,NA,NA,Halifax,Spry Harbour,NA
Temperature,degrees Celsius,7.013,5.07,588958,all_station,NA,NA,Halifax,Spry Harbour,NA
Salinity,practical salinity units,21.956,0.943,61480,all_station,NA,NA,Inverness,0814x East,NA
Temperature,degrees Celsius,9.824,4.623,185408,all_station,NA,NA,Inverness,0814x East,NA
Salinity,practical salinity units,22.546,0.522,61465,all_station,NA,NA,Inverness,0814x West,NA
Temperature,degrees Celsius,9.925,4.64,185348,all_station,NA,NA,Inverness,0814x West,NA
Dissolved Oxygen,percent saturation,113.755,5.093,56489,all_station,NA,NA,Inverness,Aberdeen,NA
Temperature,degrees Celsius,11.443,6.776,97577,all_station,NA,NA,Inverness,Aberdeen,NA
Temperature,degrees Celsius,7.299,6.059,59291,all_station,NA,NA,Inverness,Canso Lock,NA
Dissolved Oxygen,percent saturation,106.623,6.943,13785,all_station,NA,NA,Inverness,Deep Basin,NA
Temperature,degrees Celsius,7.943,6.672,78563,all_station,NA,NA,Inverness,Deep Basin,NA
Temperature,degrees Celsius,8.223,6.269,17183,all_station,NA,NA,Inverness,Denys Basin East,NA
Temperature,degrees Celsius,8.402,6.16,17182,all_station,NA,NA,Inverness,Denys Basin West,NA
Temperature,degrees Celsius,6.267,5.542,20150,all_station,NA,NA,Inverness,Pulp Mill,NA
Dissolved Oxygen,mg/L,9.541,1.303,52648,all_station,NA,NA,Lunenburg,Birchy Head,NA
Dissolved Oxygen,percent saturation,102.79,5.993,223455,all_station,NA,NA,Lunenburg,Birchy Head,NA
Salinity,practical salinity units,30.569,0.654,9983,all_station,NA,NA,Lunenburg,Birchy Head,NA
Temperature,degrees Celsius,7.067,4.859,1221356,all_station,NA,NA,Lunenburg,Birchy Head,NA
Dissolved Oxygen,mg/L,9.622,1.313,36351,all_station,NA,NA,Lunenburg,Flat Island,NA
Dissolved Oxygen,percent saturation,103.249,2.932,35415,all_station,NA,NA,Lunenburg,Flat Island,NA
Temperature,degrees Celsius,7.291,4.732,926031,all_station,NA,NA,Lunenburg,Flat Island,NA
Dissolved Oxygen,mg/L,9.465,1.611,60918,all_station,NA,NA,Lunenburg,Little Rafuse Island,NA
Dissolved Oxygen,percent saturation,103.43,3.942,69179,all_station,NA,NA,Lunenburg,Little Rafuse Island,NA
Temperature,degrees Celsius,7.671,4.767,777311,all_station,NA,NA,Lunenburg,Little Rafuse Island,NA
Temperature,degrees Celsius,7.955,5.199,15594,all_station,NA,NA,Lunenburg,Saddle Island,NA
Dissolved Oxygen,percent saturation,99.926,1.602,162967,all_station,NA,NA,Lunenburg,Snake Island,NA
Temperature,degrees Celsius,3.363,3.734,321820,all_station,NA,NA,Lunenburg,Snake Island,NA
Dissolved Oxygen,mg/L,9.746,1.349,45902,all_station,NA,NA,Lunenburg,Tilley Point,NA
Dissolved Oxygen,percent saturation,109.706,4.541,25639,all_station,NA,NA,Lunenburg,Tilley Point,NA
Temperature,degrees Celsius,7.738,4.547,636736,all_station,NA,NA,Lunenburg,Tilley Point,NA
Dissolved Oxygen,mg/L,9.687,1.047,35637,all_station,NA,NA,Lunenburg,Upper Blandford,NA
Dissolved Oxygen,percent saturation,109.076,4.399,22764,all_station,NA,NA,Lunenburg,Upper Blandford,NA
Temperature,degrees Celsius,8.559,4.406,256452,all_station,NA,NA,Lunenburg,Upper Blandford,NA
Temperature,degrees Celsius,18.473,4.166,23434,all_station,NA,NA,Pictou,Back Harbour,NA
Temperature,degrees Celsius,18.167,3.413,8911,all_station,NA,NA,Pictou,Inner Harbour,NA
Temperature,degrees Celsius,7.534,7.302,65058,all_station,NA,NA,Pictou,Melmerby Beach,NA
Dissolved Oxygen,percent saturation,102.542,6.29,32501,all_station,NA,NA,Pictou,Olding Island,NA
Temperature,degrees Celsius,10.257,7.541,118078,all_station,NA,NA,Pictou,Olding Island,NA
Temperature,degrees Celsius,18.765,4.479,22984,all_station,NA,NA,Pictou,Robinson Cove,NA
Temperature,degrees Celsius,15.729,6.584,11861,all_station,NA,NA,Pictou,Waterside,NA
Dissolved Oxygen,percent saturation,105.469,8.765,81741,all_station,NA,NA,Queens,Mersey Point,NA
Temperature,degrees Celsius,7.854,4.066,279233,all_station,NA,NA,Queens,Mersey Point,NA
Temperature,degrees Celsius,4.528,4.064,19038,all_station,NA,NA,Richmond,0667,NA
Temperature,degrees Celsius,0.174,1.327,5647,all_station,NA,NA,Richmond,0716 Center,NA
Dissolved Oxygen,percent saturation,103.573,5.046,70052,all_station,NA,NA,Richmond,Cape Auguet,NA
Temperature,degrees Celsius,7.783,5.569,294690,all_station,NA,NA,Richmond,Cape Auguet,NA
Temperature,degrees Celsius,0.081,1.343,11290,all_station,NA,NA,Richmond,Eastern Passage,NA
Temperature,degrees Celsius,-0.121,1.135,13035,all_station,NA,NA,Richmond,Gabion Shoal,NA
Temperature,degrees Celsius,6.743,5.777,79161,all_station,NA,NA,Richmond,Kavanagh Point,NA
Temperature,degrees Celsius,-0.151,1.146,12970,all_station,NA,NA,Richmond,Les Rochers,NA
Temperature,degrees Celsius,3.702,5.557,150021,all_station,NA,NA,Richmond,Red Point,NA
Temperature,degrees Celsius,8.301,6.537,17141,all_station,NA,NA,Richmond,St. Peters Canal - N,NA
Temperature,degrees Celsius,6.033,5.125,17010,all_station,NA,NA,Richmond,St. Peters Canal - S,NA
Dissolved Oxygen,percent saturation,104.175,4.332,210016,all_station,NA,NA,Shelburne,Blue Island,NA
Temperature,degrees Celsius,7.644,4.079,655857,all_station,NA,NA,Shelburne,Blue Island,NA
Temperature,degrees Celsius,7.564,4.452,99372,all_station,NA,NA,Shelburne,Camerons Cove,NA
Dissolved Oxygen,percent saturation,108.572,4.443,245831,all_station,NA,NA,Shelburne,Ingomar,NA
Temperature,degrees Celsius,7.386,4.103,840940,all_station,NA,NA,Shelburne,Ingomar,NA
Dissolved Oxygen,percent saturation,96.677,5.378,31854,all_station,NA,NA,Shelburne,Little Harbour,NA
Temperature,degrees Celsius,7.501,3.909,173652,all_station,NA,NA,Shelburne,Little Harbour,NA
Dissolved Oxygen,percent saturation,106.104,4.134,426656,all_station,NA,NA,Shelburne,McNutts Island,NA
Temperature,degrees Celsius,6.932,4.003,1068328,all_station,NA,NA,Shelburne,McNutts Island,NA
Dissolved Oxygen,percent saturation,108.656,1.892,16322,all_station,NA,NA,Shelburne,Taylors Rock,NA
Temperature,degrees Celsius,7.799,4.085,687461,all_station,NA,NA,Shelburne,Taylors Rock,NA
Temperature,degrees Celsius,7.154,5.756,16587,all_station,NA,NA,Victoria,Barra Strait South,NA
Temperature,degrees Celsius,7.549,7.078,16988,all_station,NA,NA,Victoria,Great Bras d'Or Channel NE-E,NA
Temperature,degrees Celsius,7.569,7.085,16993,all_station,NA,NA,Victoria,Great Bras d'Or Channel NE-W,NA
Temperature,degrees Celsius,7.367,6.589,16127,all_station,NA,NA,Victoria,Great Bras d'Or Channel SW-E,NA
Temperature,degrees Celsius,7.078,6.58,15745,all_station,NA,NA,Victoria,Great Bras d'Or Channel SW-W,NA
Temperature,degrees Celsius,7.289,6.084,14841,all_station,NA,NA,Victoria,Little Narrows - N,NA
Temperature,degrees Celsius,6.959,5.876,14841,all_station,NA,NA,Victoria,Little Narrows - S,NA
Temperature,degrees Celsius,7.284,7.161,130373,all_station,NA,NA,Victoria,North Harbour,NA
Temperature,degrees Celsius,7.388,6.199,15816,all_station,NA,NA,Victoria,Nyanza Bay - E,NA
Temperature,degrees Celsius,7.75,6.333,15815,all_station,NA,NA,Victoria,Nyanza Bay - W,NA
Dissolved Oxygen,percent saturation,102.383,3.433,12400,all_station,NA,NA,Yarmouth,Big Pond Point,NA
Temperature,degrees Celsius,9.637,4.683,88536,all_station,NA,NA,Yarmouth,Big Pond Point,NA
Temperature,degrees Celsius,19.35,2.672,21934,all_station,NA,NA,Yarmouth,Big Sluice,NA
Dissolved Oxygen,percent saturation,108.41,5.005,5862,all_station,NA,NA,Yarmouth,Lobster Bay,NA
Temperature,degrees Celsius,15.42,1.167,34987,all_station,NA,NA,Yarmouth,Lobster Bay,NA
Dissolved Oxygen,percent saturation,106.135,3.803,39554,all_station,NA,NA,Yarmouth,Morris Island,NA
Temperature,degrees Celsius,11.671,7.048,105007,all_station,NA,NA,Yarmouth,Morris Island,NA
Temperature,degrees Celsius,9.451,6.286,126524,all_station,NA,NA,Yarmouth,Old Point Channel,NA
Dissolved Oxygen,percent saturation,101.405,3.301,50375,all_station,NA,NA,Yarmouth,Ram Island,NA
Salinity,practical salinity units,26.913,3.494,104905,all_station,NA,NA,Yarmouth,Ram Island,NA
Temperature,degrees Celsius,9.127,5.379,261846,all_station,NA,NA,Yarmouth,Ram Island,NA
Temperature,degrees Celsius,11.965,5.512,20151,all_station,NA,NA,Yarmouth,Tucker Island,NA
Dissolved Oxygen,percent saturation,102.115,3.195,96202,all_station,NA,NA,Yarmouth,Wedgeport,NA
Salinity,practical salinity units,22.849,5.966,101002,all_station,NA,NA,Yarmouth,Wedgeport,NA
Temperature,degrees Celsius,9.763,5.504,299030,all_station,NA,NA,Yarmouth,Wedgeport,NA
Dissolved Oxygen,percent saturation,111.172,2.794,3926,all_depth,NA,NA,NA,NA,0
Temperature,degrees Celsius,12.972,7.603,124416,all_depth,NA,NA,NA,NA,0
Dissolved Oxygen,percent saturation,103.275,3.74,33696,all_depth,NA,NA,NA,NA,1
Salinity,practical salinity units,27.164,3.626,84886,all_depth,NA,NA,NA,NA,1
Temperature,degrees Celsius,10.059,7.209,1446060,all_depth,NA,NA,NA,NA,1
Dissolved Oxygen,percent saturation,103.395,5.015,509371,all_depth,NA,NA,NA,NA,2
Salinity,practical salinity units,25.099,5.429,446275,all_depth,NA,NA,NA,NA,2
Temperature,degrees Celsius,8.137,5.946,4988810,all_depth,NA,NA,NA,NA,2
Dissolved Oxygen,percent saturation,111.091,6.259,34463,all_depth,NA,NA,NA,NA,3
Salinity,practical salinity units,26.213,4.6,13993,all_depth,NA,NA,NA,NA,3
Temperature,degrees Celsius,10.497,7.15,254468,all_depth,NA,NA,NA,NA,3
Dissolved Oxygen,percent saturation,102.03,3.87,137716,all_depth,NA,NA,NA,NA,4
Temperature,degrees Celsius,9.69,5.403,402725,all_depth,NA,NA,NA,NA,4
Dissolved Oxygen,mg/L,9.627,1.342,282818,all_depth,NA,NA,NA,NA,5
Dissolved Oxygen,percent saturation,104.591,5.835,2557905,all_depth,NA,NA,NA,NA,5
Temperature,degrees Celsius,7.799,5.471,6293824,all_depth,NA,NA,NA,NA,5
Dissolved Oxygen,percent saturation,106.636,4.759,74533,all_depth,NA,NA,NA,NA,6
Temperature,degrees Celsius,8.104,6.269,177210,all_depth,NA,NA,NA,NA,6
Temperature,degrees Celsius,7.807,5.401,191504,all_depth,NA,NA,NA,NA,7
Temperature,degrees Celsius,9.938,5.027,270036,all_depth,NA,NA,NA,NA,8
Temperature,degrees Celsius,5.506,5.664,108911,all_depth,NA,NA,NA,NA,9
Dissolved Oxygen,percent saturation,100.164,0.676,34412,all_depth,NA,NA,NA,NA,10
Salinity,practical salinity units,22.251,0.817,122945,all_depth,NA,NA,NA,NA,10
Temperature,degrees Celsius,7.242,5.038,3972276,all_depth,NA,NA,NA,NA,10
Temperature,degrees Celsius,5.027,6.242,50545,all_depth,NA,NA,NA,NA,11
Temperature,degrees Celsius,6.478,4.621,48933,all_depth,NA,NA,NA,NA,12
Temperature,degrees Celsius,7.364,5.001,42286,all_depth,NA,NA,NA,NA,13
Temperature,degrees Celsius,7.549,7.078,16988,all_depth,NA,NA,NA,NA,14
Dissolved Oxygen,percent saturation,105.584,4.485,248214,all_depth,NA,NA,NA,NA,15
Temperature,degrees Celsius,6.48,4.606,3246452,all_depth,NA,NA,NA,NA,15
Temperature,degrees Celsius,3.572,1.821,17649,all_depth,NA,NA,NA,NA,16
Temperature,degrees Celsius,4.266,2.369,161720,all_depth,NA,NA,NA,NA,18
Temperature,degrees Celsius,7.367,6.589,16127,all_depth,NA,NA,NA,NA,19
Dissolved Oxygen,percent saturation,99.654,4.723,166944,all_depth,NA,NA,NA,NA,20
Temperature,degrees Celsius,5.592,4.367,2322481,all_depth,NA,NA,NA,NA,20
Temperature,degrees Celsius,7.154,5.756,16587,all_depth,NA,NA,NA,NA,21
Temperature,degrees Celsius,3.03,3.918,66450,all_depth,NA,NA,NA,NA,22
Temperature,degrees Celsius,1.951,0.128,7781,all_depth,NA,NA,NA,NA,23
Temperature,degrees Celsius,4.436,3.921,15504,all_depth,NA,NA,NA,NA,24
Temperature,degrees Celsius,4.702,4.156,369327,all_depth,NA,NA,NA,NA,25
Temperature,degrees Celsius,2.288,3.027,87425,all_depth,NA,NA,NA,NA,26
Temperature,degrees Celsius,3.664,4.11,41302,all_depth,NA,NA,NA,NA,27
Temperature,degrees Celsius,1.693,3.466,83947,all_depth,NA,NA,NA,NA,28
Temperature,degrees Celsius,0.842,2.917,44824,all_depth,NA,NA,NA,NA,29
Temperature,degrees Celsius,5.488,3.814,527776,all_depth,NA,NA,NA,NA,30
Temperature,degrees Celsius,3.277,1.32,18702,all_depth,NA,NA,NA,NA,31
Temperature,degrees Celsius,12.27,0.976,3248,all_depth,NA,NA,NA,NA,32
Temperature,degrees Celsius,2.514,3.063,51347,all_depth,NA,NA,NA,NA,36
Temperature,degrees Celsius,5.287,2.362,21665,all_depth,NA,NA,NA,NA,37
Temperature,degrees Celsius,4.337,3.002,297239,all_depth,NA,NA,NA,NA,40
Temperature,degrees Celsius,3.904,3.487,25908,all_depth,NA,NA,NA,NA,44
Temperature,degrees Celsius,3.212,2.503,84867,all_depth,NA,NA,NA,NA,50
Dissolved Oxygen,percent saturation,86.326,10.224,127338,all_depth,NA,NA,NA,NA,60
Temperature,degrees Celsius,2.993,2.026,127338,all_depth,NA,NA,NA,NA,60
Temperature,degrees Celsius,1.627,1.292,40850,all_depth,NA,NA,NA,NA,75
Dissolved Oxygen,percent saturation,103.55,3.867,63669,county,NA,NA,Annapolis,NA,NA
Salinity,practical salinity units,32.113,0.558,5030,county,NA,NA,Annapolis,NA,NA
Temperature,degrees Celsius,9.307,3.758,266200,county,NA,NA,Annapolis,NA,NA
Dissolved Oxygen,percent saturation,96.995,7.17,24192,county,NA,NA,Antigonish,NA,NA
Salinity,practical salinity units,25.983,3.191,66483,county,NA,NA,Antigonish,NA,NA
Temperature,degrees Celsius,13.263,8.189,370789,county,NA,NA,Antigonish,NA,NA
Temperature,degrees Celsius,7.448,7.278,29908,county,NA,NA,Cape Breton,NA,NA
Dissolved Oxygen,percent saturation,100.563,4.393,59680,county,NA,NA,Colchester,NA,NA
Temperature,degrees Celsius,7.194,7.382,159059,county,NA,NA,Colchester,NA,NA
Dissolved Oxygen,percent saturation,102.28,5.217,236759,county,NA,NA,Digby,NA,NA
Salinity,practical salinity units,28.639,4.148,27366,county,NA,NA,Digby,NA,NA
Temperature,degrees Celsius,8.952,4.602,1532070,county,NA,NA,Digby,NA,NA
Dissolved Oxygen,percent saturation,101.709,8.401,1056730,county,NA,NA,Guysborough,NA,NA
Salinity,practical salinity units,25.021,5.559,230385,county,NA,NA,Guysborough,NA,NA
Temperature,degrees Celsius,6.448,5.804,9804011,county,NA,NA,Guysborough,NA,NA
Dissolved Oxygen,mg/L,9.761,1.189,51362,county,NA,NA,Halifax,NA,NA
Dissolved Oxygen,percent saturation,104.579,6.124,558429,county,NA,NA,Halifax,NA,NA
Temperature,degrees Celsius,7.203,5.365,3200156,county,NA,NA,Halifax,NA,NA
Dissolved Oxygen,percent saturation,112.356,6.191,70274,county,NA,NA,Inverness,NA,NA
Salinity,practical salinity units,22.251,0.817,122945,county,NA,NA,Inverness,NA,NA
